radius_lower_m,radius_upper_m,radius_center_m,count,chrono_response_mm_mean,chrono_response_mm_rmse,chrono_response_mm_p05,chrono_response_mm_median,chrono_response_mm_p95,genesis_response_mm_mean,genesis_response_mm_rmse,genesis_response_mm_p05,genesis_response_mm_median,genesis_response_mm_p95,error_mm_mean,error_mm_rmse,error_mm_p05,error_mm_median,error_mm_p95,phase,inside_action_radius
0.06,0.065,0.0625,84,-17.848281860351562,17.85298728942871,-18.472049713134766,-17.849815368652344,-17.227380752563477,-10.190736770629883,10.8471097946167,-21.912063598632812,-8.897255897521973,-7.342345714569092,7.657544136047363,8.509203910827637,-4.281072616577148,8.815694808959961,10.248783111572266,loaded,True
0.065,0.07,0.0675,89,-16.900348663330078,16.90625,-17.576702117919922,-16.89377212524414,-16.109275817871094,-6.681057929992676,7.351394176483154,-14.011691093444824,-6.0151591300964355,-4.290184497833252,10.219291687011719,10.645369529724121,3.1790735721588135,10.907515525817871,12.015155792236328,loaded,True
0.07,0.075,0.07250000000000001,91,-13.755462646484375,14.07291316986084,-16.35042953491211,-14.7346830368042,-10.86707878112793,-4.411816596984863,5.191557884216309,-13.253783226013184,-3.687026023864746,-2.5663650035858154,9.343645095825195,10.039871215820312,0.29082775115966797,10.611993789672852,12.454544067382812,loaded,True
0.075,0.08,0.0775,93,-2.2486422061920166,4.762887477874756,-10.803772926330566,0.0,0.0,-2.2061502933502197,2.3519740104675293,-2.965743064880371,-2.077181816101074,-1.4468960762023926,0.042492084205150604,4.143644332885742,-2.628298759460449,-1.8965436220169067,8.411248207092285,loaded,False
0.08,0.085,0.0825,99,0.0,0.0,0.0,0.0,0.0,-1.341845989227295,1.8906185626983643,-6.34382963180542,-1.0129621028900146,-0.4812503159046173,-1.341845989227295,1.8906185626983643,-6.34382963180542,-1.0129621028900146,-0.4812503159046173,loaded,False
0.085,0.09,0.0875,111,0.0,0.0,0.0,0.0,0.0,-0.24339589476585388,0.37387600541114807,-0.7573453783988953,-0.27165091037750244,0.19688057899475098,-0.24339589476585388,0.37387600541114807,-0.7573453783988953,-0.27165091037750244,0.19688057899475098,loaded,False
0.09,0.095,0.0925,121,0.0,0.0,0.0,0.0,0.0,0.3888653516769409,0.43999993801116943,0.09365396946668625,0.3916988670825958,0.7271252274513245,0.3888653516769409,0.43999993801116943,0.09365396946668625,0.3916988670825958,0.7271252274513245,loaded,False
0.095,0.1,0.0975,125,0.0,0.0,0.0,0.0,0.0,0.825851321220398,0.8439226746559143,0.5572748184204102,0.8070936799049377,1.0814180374145508,0.825851321220398,0.8439226746559143,0.5572748184204102,0.8070936799049377,1.0814180374145508,loaded,False
0.1,0.105,0.10250000000000001,120,0.0,0.0,0.0,0.0,0.0,1.0489165782928467,1.0581248998641968,0.8268473744392395,1.0765013694763184,1.2754039764404297,1.0489165782928467,1.0581248998641968,0.8268473744392395,1.0765013694763184,1.2754039764404297,loaded,False
0.105,0.11,0.1075,144,0.0,0.0,0.0,0.0,0.0,1.169175148010254,1.1725176572799683,1.0301285982131958,1.1791069507598877,1.343019723892212,1.169175148010254,1.1725176572799683,1.0301285982131958,1.1791069507598877,1.343019723892212,loaded,False
0.11,0.115,0.1125,137,0.0,0.0,0.0,0.0,0.0,1.188463807106018,1.19062340259552,1.041054129600525,1.191978096961975,1.3167741298675537,1.188463807106018,1.19062340259552,1.041054129600525,1.191978096961975,1.3167741298675537,loaded,False
0.115,0.12,0.1175,137,0.0,0.0,0.0,0.0,0.0,1.1543607711791992,1.1555062532424927,1.0325627326965332,1.1661348342895508,1.2249274253845215,1.1543607711791992,1.1555062532424927,1.0325627326965332,1.1661348342895508,1.2249274253845215,loaded,False
0.12,0.125,0.1225,161,0.0,0.0,0.0,0.0,0.0,1.0986498594284058,1.0994737148284912,1.0041559934616089,1.1067527532577515,1.1457998752593994,1.0986498594284058,1.0994737148284912,1.0041559934616089,1.1067527532577515,1.1457998752593994,loaded,False
0.125,0.13,0.1275,163,0.0,0.0,0.0,0.0,0.0,1.0255327224731445,1.0262885093688965,0.9512921571731567,1.0310066938400269,1.0761384963989258,1.0255327224731445,1.0262885093688965,0.9512921571731567,1.0310066938400269,1.0761384963989258,loaded,False
