phase,axis,coordinate_m,chrono_response_mm,genesis_response_mm,error_mm
loaded,y,-0.265,0.0,0.26214799284935,0.26214799284935
loaded,y,-0.26,0.0,0.24709367752075195,0.24709367752075195
loaded,y,-0.255,0.0,0.24116289615631104,0.24116289615631104
loaded,y,-0.25,0.0,0.24280202388763428,0.24280202388763428
loaded,y,-0.245,0.0,0.2508590817451477,0.2508590817451477
loaded,y,-0.24,0.0,0.26602640748023987,0.26602640748023987
loaded,y,-0.235,0.0,0.2835741639137268,0.2835741639137268
loaded,y,-0.22999999999999998,0.0,0.30126097798347473,0.30126097798347473
loaded,y,-0.22499999999999998,0.0,0.3190552890300751,0.3190552890300751
loaded,y,-0.21999999999999997,0.0,0.336042195558548,0.336042195558548
loaded,y,-0.21499999999999997,0.0,0.3520428538322449,0.3520428538322449
loaded,y,-0.21,0.0,0.36697709560394287,0.36697709560394287
loaded,y,-0.205,0.0,0.3814079761505127,0.3814079761505127
loaded,y,-0.19999999999999998,0.0,0.3957582712173462,0.3957582712173462
loaded,y,-0.195,0.0,0.4101031720638275,0.4101031720638275
loaded,y,-0.19,0.0,0.4243568181991577,0.4243568181991577
loaded,y,-0.185,0.0,0.43825554847717285,0.43825554847717285
loaded,y,-0.18,0.0,0.45171910524368286,0.45171910524368286
loaded,y,-0.175,0.0,0.4660571813583374,0.4660571813583374
loaded,y,-0.16999999999999998,0.0,0.48452889919281006,0.48452889919281006
loaded,y,-0.16499999999999998,0.0,0.5073099732398987,0.5073099732398987
loaded,y,-0.15999999999999998,0.0,0.5349423289299011,0.5349423289299011
loaded,y,-0.155,0.0,0.571134626865387,0.571134626865387
loaded,y,-0.15,0.0,0.6160763502120972,0.6160763502120972
loaded,y,-0.145,0.0,0.6685457229614258,0.6685457229614258
loaded,y,-0.13999999999999999,0.0,0.7253986597061157,0.7253986597061157
loaded,y,-0.13499999999999998,0.0,0.7866281270980835,0.7866281270980835
loaded,y,-0.12999999999999998,0.0,0.8498720526695251,0.8498720526695251
loaded,y,-0.12499999999999997,0.0,0.9080208539962769,0.9080208539962769
loaded,y,-0.12,0.0,0.9614881277084351,0.9614881277084351
loaded,y,-0.11499999999999999,0.0,1.007362961769104,1.007362961769104
loaded,y,-0.10999999999999999,0.0,1.0269612073898315,1.0269612073898315
loaded,y,-0.10499999999999998,0.0,1.020102858543396,1.020102858543396
loaded,y,-0.09999999999999998,0.0,0.8854168653488159,0.8854168653488159
loaded,y,-0.09499999999999997,0.0,0.7210178375244141,0.7210178375244141
loaded,y,-0.09,0.0,0.4834078252315521,0.4834078252315521
loaded,y,-0.08499999999999999,0.0,0.12201562523841858,0.12201562523841858
loaded,y,-0.07999999999999999,0.0,-0.3367187976837158,-0.3367187976837158
loaded,y,-0.07499999999999998,0.0,-0.9500401020050049,-0.9500401020050049
loaded,y,-0.06999999999999998,-10.74140453338623,-1.755353569984436,8.986050605773926
